Data,Horário ,Xixi,Cocô,,27.02.23,4
07.04.23,8:08,cheia e na troca,não,,,
07.04.23,11:25,cheia,pouquíssimo ,,,
07.04.23,13:35,cheia,pouco/médio ,,,
07.04.23,15:45,cheia,pouquíssimo ,,,
07.04.23,18:15,cheia,pouco,,,
07.04.23,19:45,cheia,pouquíssimo ,,,
07.04.23,20:25,cheia,novo^3 recorde,,,
07.04.23,21:35,cheia,não,,,
08.04.23,2:46,cheia e na troca,não,,,
08.04.23,6:55,cheia,pouquíssimo ,,,
08.04.23,9:00,cheia e na troca ,pouquíssimo ,,,
08.04.23,11:10,cheia,não ,,,
08.04.23,14:45,cheia e na troca,não,,,
08.04.23,15:45,cheia e na troca,pouquíssimo ,,,
08.04.23,18:55,cheia ,pouquíssimo ,,,
08.04.23,21:07,cheia,pouco/ médio,,,
09.04.23,3:17,cheia,pouquíssimo ,,,
09.04.23,6:55,cheia e na troca ,pouquíssimo ,,,
09.04.23,9:35,cheia ,não ,,,
09.04.23,11:40,cheia,não ,,,
09.04.23,15:58,cheia ,médio ,,,
09.04.23,16:35,cheia,médio ,,,
09.04.23,16:55,não,novo^5 recorde,,,
09.04.23,18:42,cheia,muito,,,
